age,gender,province,education,n
18,Male,Saskatchewan,High school diploma or a high school equivalency certificate,2
18,Male,Saskatchewan,Less than high school diploma or its equivalent,2
19,Female,Alberta,High school diploma or a high school equivalency certificate,7
19,Female,British Columbia,High school diploma or a high school equivalency certificate,3
19,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma",1
19,Female,Manitoba,High school diploma or a high school equivalency certificate,4
19,Female,Manitoba,Less than high school diploma or its equivalent,1
19,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma",3
19,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
19,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
19,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
19,Female,Nova Scotia,High school diploma or a high school equivalency certificate,2
19,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",2
19,Female,Ontario,High school diploma or a high school equivalency certificate,21
19,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,2
19,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",4
19,Female,Quebec,High school diploma or a high school equivalency certificate,7
19,Female,Quebec,Less than high school diploma or its equivalent,2
19,Female,Saskatchewan,High school diploma or a high school equivalency certificate,1
19,Female,Saskatchewan,Less than high school diploma or its equivalent,3
19,Male,Alberta,"College, CEGEP or other non-university certificate or diploma",1
19,Male,Alberta,High school diploma or a high school equivalency certificate,6
19,Male,Alberta,Less than high school diploma or its equivalent,1
19,Male,Alberta,"University certificate, diploma or degree above the bachelor level",1
19,Male,British Columbia,High school diploma or a high school equivalency certificate,9
19,Male,Manitoba,High school diploma or a high school equivalency certificate,4
19,Male,Manitoba,Less than high school diploma or its equivalent,1
19,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
19,Male,New Brunswick,High school diploma or a high school equivalency certificate,1
19,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
19,Male,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
19,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",1
19,Male,Nova Scotia,High school diploma or a high school equivalency certificate,2
19,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",1
19,Male,Ontario,High school diploma or a high school equivalency certificate,13
19,Male,Ontario,Less than high school diploma or its equivalent,3
19,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,4
19,Male,Prince Edward Island,Less than high school diploma or its equivalent,1
19,Male,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
19,Male,Quebec,High school diploma or a high school equivalency certificate,10
19,Male,Quebec,Less than high school diploma or its equivalent,1
19,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",2
19,Male,Saskatchewan,High school diploma or a high school equivalency certificate,3
20,Female,Alberta,"College, CEGEP or other non-university certificate or diploma",2
20,Female,Alberta,High school diploma or a high school equivalency certificate,2
20,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma",1
20,Female,British Columbia,High school diploma or a high school equivalency certificate,6
20,Female,Manitoba,High school diploma or a high school equivalency certificate,1
20,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
20,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,6
20,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",1
20,Female,Nova Scotia,High school diploma or a high school equivalency certificate,4
20,Female,Nova Scotia,Less than high school diploma or its equivalent,1
20,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",4
20,Female,Ontario,High school diploma or a high school equivalency certificate,12
20,Female,Ontario,Less than high school diploma or its equivalent,2
20,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",5
20,Female,Quebec,High school diploma or a high school equivalency certificate,7
20,Female,Saskatchewan,Less than high school diploma or its equivalent,1
20,Male,Alberta,High school diploma or a high school equivalency certificate,7
20,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma",3
20,Male,British Columbia,High school diploma or a high school equivalency certificate,6
20,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma",1
20,Male,Manitoba,High school diploma or a high school equivalency certificate,2
20,Male,Manitoba,Less than high school diploma or its equivalent,1
20,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
20,Male,New Brunswick,High school diploma or a high school equivalency certificate,1
20,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
20,Male,Nova Scotia,High school diploma or a high school equivalency certificate,7
20,Male,Nova Scotia,Less than high school diploma or its equivalent,1
20,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",3
20,Male,Ontario,High school diploma or a high school equivalency certificate,22
20,Male,Ontario,Less than high school diploma or its equivalent,1
20,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",2
20,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,1
20,Male,Quebec,"College, CEGEP or other non-university certificate or diploma",4
20,Male,Quebec,High school diploma or a high school equivalency certificate,8
20,Male,Quebec,Less than high school diploma or its equivalent,3
20,Male,Saskatchewan,High school diploma or a high school equivalency certificate,5
21,Female,Alberta,High school diploma or a high school equivalency certificate,3
21,Female,British Columbia,High school diploma or a high school equivalency certificate,3
21,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma",3
21,Female,Manitoba,High school diploma or a high school equivalency certificate,3
21,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
21,Female,New Brunswick,High school diploma or a high school equivalency certificate,4
21,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
21,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
21,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",1
21,Female,Nova Scotia,High school diploma or a high school equivalency certificate,1
21,Female,Nova Scotia,Less than high school diploma or its equivalent,1
21,Female,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
21,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",7
21,Female,Ontario,High school diploma or a high school equivalency certificate,11
21,Female,Ontario,Less than high school diploma or its equivalent,2
21,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,2
21,Female,Prince Edward Island,Less than high school diploma or its equivalent,1
21,Female,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
21,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",10
21,Female,Quebec,High school diploma or a high school equivalency certificate,4
21,Female,Saskatchewan,High school diploma or a high school equivalency certificate,2
21,Male,Alberta,High school diploma or a high school equivalency certificate,8
21,Male,British Columbia,High school diploma or a high school equivalency certificate,6
21,Male,British Columbia,University certificate or diploma below the bachelor level,2
21,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma",3
21,Male,Manitoba,High school diploma or a high school equivalency certificate,5
21,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
21,Male,New Brunswick,High school diploma or a high school equivalency certificate,3
21,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
21,Male,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
21,Male,Nova Scotia,High school diploma or a high school equivalency certificate,3
21,Male,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
21,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",5
21,Male,Ontario,High school diploma or a high school equivalency certificate,22
21,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,1
21,Male,Quebec,"College, CEGEP or other non-university certificate or diploma",4
21,Male,Quebec,High school diploma or a high school equivalency certificate,3
21,Male,Quebec,Less than high school diploma or its equivalent,4
21,Male,Saskatchewan,High school diploma or a high school equivalency certificate,1
21,Male,Saskatchewan,Less than high school diploma or its equivalent,2
22,Female,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
22,Female,Alberta,"College, CEGEP or other non-university certificate or diploma",4
22,Female,Alberta,High school diploma or a high school equivalency certificate,5
22,Female,Alberta,Less than high school diploma or its equivalent,1
22,Female,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
22,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma",3
22,Female,British Columbia,High school diploma or a high school equivalency certificate,4
22,Female,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
22,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma",1
22,Female,Manitoba,Less than high school diploma or its equivalent,1
22,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma",2
22,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
22,Female,New Brunswick,Less than high school diploma or its equivalent,1
22,Female,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
22,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",3
22,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",1
22,Female,Nova Scotia,High school diploma or a high school equivalency certificate,5
22,Female,Nova Scotia,University certificate or diploma below the bachelor level,1
22,Female,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",8
22,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",5
22,Female,Ontario,High school diploma or a high school equivalency certificate,14
22,Female,Ontario,Less than high school diploma or its equivalent,1
22,Female,Ontario,University certificate or diploma below the bachelor level,2
22,Female,Prince Edward Island,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
22,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
22,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",10
22,Female,Quebec,Less than high school diploma or its equivalent,1
22,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",4
22,Female,Saskatchewan,High school diploma or a high school equivalency certificate,4
22,Male,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,Alberta,"College, CEGEP or other non-university certificate or diploma",2
22,Male,Alberta,High school diploma or a high school equivalency certificate,5
22,Male,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma",3
22,Male,British Columbia,High school diploma or a high school equivalency certificate,13
22,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma",2
22,Male,Manitoba,High school diploma or a high school equivalency certificate,5
22,Male,New Brunswick,High school diploma or a high school equivalency certificate,1
22,Male,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
22,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,3
22,Male,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
22,Male,Nova Scotia,High school diploma or a high school equivalency certificate,6
22,Male,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",4
22,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",7
22,Male,Ontario,High school diploma or a high school equivalency certificate,14
22,Male,Ontario,Less than high school diploma or its equivalent,1
22,Male,Ontario,"University certificate, diploma or degree above the bachelor level",1
22,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,2
22,Male,Quebec,"College, CEGEP or other non-university certificate or diploma",7
22,Male,Quebec,High school diploma or a high school equivalency certificate,4
22,Male,Quebec,Less than high school diploma or its equivalent,5
22,Male,Quebec,University certificate or diploma below the bachelor level,1
22,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",1
22,Male,Saskatchewan,High school diploma or a high school equivalency certificate,2
23,Female,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
23,Female,Alberta,"College, CEGEP or other non-university certificate or diploma",2
23,Female,Alberta,High school diploma or a high school equivalency certificate,2
23,Female,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
23,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma",3
23,Female,British Columbia,High school diploma or a high school equivalency certificate,3
23,Female,British Columbia,Less than high school diploma or its equivalent,1
23,Female,British Columbia,University certificate or diploma below the bachelor level,1
23,Female,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
23,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma",1
23,Female,Manitoba,High school diploma or a high school equivalency certificate,3
23,Female,Manitoba,Less than high school diploma or its equivalent,1
23,Female,New Brunswick,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma",2
23,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
23,Female,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
23,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
23,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor level,1
23,Female,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",1
23,Female,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",8
23,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",8
23,Female,Ontario,High school diploma or a high school equivalency certificate,9
23,Female,Prince Edward Island,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
23,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",1
23,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
23,Female,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",8
23,Female,Quebec,High school diploma or a high school equivalency certificate,3
23,Female,Quebec,Less than high school diploma or its equivalent,1
23,Female,Saskatchewan,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Female,Saskatchewan,High school diploma or a high school equivalency certificate,2
23,Female,Saskatchewan,Less than high school diploma or its equivalent,1
23,Male,Alberta,"College, CEGEP or other non-university certificate or diploma",1
23,Male,Alberta,High school diploma or a high school equivalency certificate,4
23,Male,Alberta,Less than high school diploma or its equivalent,1
23,Male,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma",1
23,Male,British Columbia,High school diploma or a high school equivalency certificate,2
23,Male,British Columbia,"University certificate, diploma or degree above the bachelor level",1
23,Male,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Male,Manitoba,"College, CEGEP or other non-university certificate or diploma",1
23,Male,Manitoba,High school diploma or a high school equivalency certificate,3
23,Male,New Brunswick,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
23,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma",2
23,Male,New Brunswick,High school diploma or a high school equivalency certificate,3
23,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",1
23,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
23,Male,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",1
23,Male,Nova Scotia,High school diploma or a high school equivalency certificate,2
23,Male,Nova Scotia,Less than high school diploma or its equivalent,1
23,Male,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",6
23,Male,Ontario,"College, CEGEP or other non-university certificate or diploma",4
23,Male,Ontario,High school diploma or a high school equivalency certificate,6
23,Male,Ontario,Less than high school diploma or its equivalent,2
23,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma",3
23,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,1
23,Male,Prince Edward Island,Less than high school diploma or its equivalent,1
23,Male,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Quebec,"College, CEGEP or other non-university certificate or diploma",6
23,Male,Quebec,High school diploma or a high school equivalency certificate,2
23,Male,Quebec,Less than high school diploma or its equivalent,4
23,Male,Saskatchewan,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
23,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",1
23,Male,Saskatchewan,High school diploma or a high school equivalency certificate,3
23,Male,Saskatchewan,Less than high school diploma or its equivalent,1
24,Female,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
24,Female,Alberta,"College, CEGEP or other non-university certificate or diploma",3
24,Female,Alberta,High school diploma or a high school equivalency certificate,4
24,Female,Alberta,Less than high school diploma or its equivalent,1
24,Female,Alberta,University certificate or diploma below the bachelor level,1
24,Female,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
24,Female,British Columbia,"College, CEGEP or other non-university certificate or diploma",2
24,Female,British Columbia,High school diploma or a high school equivalency certificate,8
24,Female,British Columbia,Less than high school diploma or its equivalent,2
24,Female,British Columbia,University certificate or diploma below the bachelor level,1
24,Female,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
24,Female,Manitoba,"College, CEGEP or other non-university certificate or diploma",2
24,Female,Manitoba,High school diploma or a high school equivalency certificate,2
24,Female,Manitoba,Less than high school diploma or its equivalent,2
24,Female,New Brunswick,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
24,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
24,Female,New Brunswick,High school diploma or a high school equivalency certificate,3
24,Female,New Brunswick,Less than high school diploma or its equivalent,1
24,Female,New Brunswick,University certificate or diploma below the bachelor level,1
24,Female,Newfoundland and Labrador,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
24,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or diploma",2
24,Female,Nova Scotia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
24,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma",2
24,Female,Nova Scotia,High school diploma or a high school equivalency certificate,5
24,Female,Nova Scotia,Less than high school diploma or its equivalent,1
24,Female,Ontario,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",15
24,Female,Ontario,"College, CEGEP or other non-university certificate or diploma",8
24,Female,Ontario,High school diploma or a high school equivalency certificate,5
24,Female,Ontario,Less than high school diploma or its equivalent,1
24,Female,Ontario,University certificate or diploma below the bachelor level,1
24,Female,Prince Edward Island,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
24,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,3
24,Female,Quebec,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",3
24,Female,Quebec,"College, CEGEP or other non-university certificate or diploma",5
24,Female,Quebec,High school diploma or a high school equivalency certificate,2
24,Female,Quebec,Less than high school diploma or its equivalent,1
24,Female,Quebec,University certificate or diploma below the bachelor level,1
24,Female,Saskatchewan,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
24,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma",3
24,Male,Alberta,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",4
24,Male,Alberta,"College, CEGEP or other non-university certificate or diploma",1
24,Male,Alberta,High school diploma or a high school equivalency certificate,3
24,Male,British Columbia,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
24,Male,British Columbia,"College, CEGEP or other non-university certificate or diploma",1
24,Male,British Columbia,High school diploma or a high school equivalency certificate,7
24,Male,British Columbia,University certificate or diploma below the bachelor level,1
24,Male,Manitoba,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",1
24,Male,Manitoba,High school diploma or a high school equivalency certificate,2
24,Male,New Brunswick,"Bachelor degree (e.g. B.A., B.Sc., LL.B.)",2
24,Male,New Brunswick,"College, CEGEP or other non-university certificate or diploma",1
24,Male,New Brunswick,High school diploma or a high school equivalency certificate,1
24,Male,New Brunswick,Less than high school diploma or its equivalent,2
